ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
69,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.873015,6.445,4.18,0.06,0
70,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.889939,6.485,4.18,0.06,0
71,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.819133,6.125,4.14,0.06,0
72,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.821715,6.165,4.14,0.06,0
73,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.826229,6.205,4.14,0.06,0
74,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.832641,6.245,4.14,0.06,0
75,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.84091,6.285,4.14,0.06,1
76,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.85098,6.325,4.14,0.06,1
77,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.862789,6.365,4.14,0.06,0
78,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.876266,6.405,4.14,0.06,0
79,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.891336,6.445,4.14,0.06,0
80,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.907919,6.485,4.14,0.06,0
81,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.840538,6.125,4.1,0.06,0
82,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.843055,6.165,4.1,0.06,0
83,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.847454,6.205,4.1,0.06,0
84,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.853707,6.245,4.1,0.06,0
85,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.861774,6.285,4.1,0.06,1
86,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.871603,6.325,4.1,0.06,1
87,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.883136,6.365,4.1,0.06,1
88,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.896307,6.405,4.1,0.06,0
89,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.911046,6.445,4.1,0.06,0
90,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.927276,6.485,4.1,0.06,0
91,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.863266,6.125,4.06,0.06,0
92,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.865717,6.165,4.06,0.06,0
93,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.870002,6.205,4.06,0.06,0
94,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.876094,6.245,4.06,0.06,0
95,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.883956,6.285,4.06,0.06,1
96,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.893541,6.325,4.06,0.06,1
97,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.904795,6.365,4.06,0.06,1
98,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.917655,6.405,4.06,0.06,0
99,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.932056,6.445,4.06,0.06,0
100,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.947927,6.485,4.06,0.06,0
101,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.887216,6.125,4.02,0.06,0
102,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.889601,6.165,4.02,0.06,0
103,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.893772,6.205,4.02,0.06,0
104,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.899703,6.245,4.02,0.06,0
105,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.907361,6.285,4.02,0.06,1
106,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.916701,6.325,4.02,0.06,0
107,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.927674,6.365,4.02,0.06,1
108,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.940221,6.405,4.02,0.06,0
